trial,val_accuracy,inference_ms,n_params,n_conv_layers,conv_ch_0,conv_ch_1,n_fc_layers,fc_units,dropout,lr,batch_size,epochs,optimizer,input_resolution,conv_ch_2
18,0.8933333333333333,1.595627522468567,124426,3,128,32.0,2,256,0.0,0.0009746318720288899,512,8,Adam,20,32.0
17,0.892,1.5483142352104187,188426,3,64,128.0,2,256,0.2,0.0031749883464243815,1024,6,Adam,14,32.0
44,0.8886666666666667,1.5250598406791687,356970,3,32,64.0,2,512,0.2,0.002381248902493667,1024,7,Adam,14,64.0
22,0.8845,2.2353862428665163,323018,2,128,32.0,2,512,0.4,0.007935966513082413,256,8,Adam,28,
12,0.8835,2.5125900959968566,630666,3,128,128.0,2,512,0.2,0.0005638530127559436,512,5,Adam,14,128.0
45,0.8801666666666667,1.6436716771125794,174666,3,64,128.0,2,128,0.1,0.009447915839398248,256,8,SGD,14,64.0
23,0.8701666666666666,1.3615750408172607,50506,3,64,32.0,1,512,0.5,0.0012908132395505268,512,4,Adam,14,32.0
15,0.8611666666666666,2.0376038360595703,380586,3,32,32.0,2,512,0.30000000000000004,0.005163922103009252,256,6,SGD,14,128.0
35,0.8583333333333333,2.381689591407776,371306,2,32,128.0,2,512,0.0,0.0014875092122779681,512,8,Adam,20,
8,0.8505,2.34525120973587,167754,3,64,128.0,1,256,0.1,0.002089142634385646,256,4,SGD,14,64.0
9,0.8453333333333334,1.1025811195373536,24714,2,64,32.0,1,128,0.0,0.002123261760236048,1024,7,Adam,14,
56,0.8391666666666666,2.371039388179779,145866,2,64,128.0,1,512,0.30000000000000004,0.0008773085807262597,512,7,Adam,14,
31,0.8341666666666666,1.3496979236602784,338762,2,64,64.0,2,512,0.30000000000000004,0.0008773085807262597,1024,7,Adam,20,
42,0.8256666666666667,1.147434241771698,57322,2,32,64.0,1,512,0.0,0.0014224367069246501,1024,7,Adam,20,
3,0.8193333333333334,1.55051265001297,408522,2,64,128.0,2,512,0.4,0.0028708753481954683,256,3,Adam,14,
54,0.819,2.559867515563965,371306,2,32,128.0,2,512,0.0,0.0014875092122779681,512,5,Adam,20,
0,0.8125,1.345407361984253,86442,2,32,32.0,2,256,0.5,0.004622589001020831,256,4,Adam,20,
20,0.8041666666666667,0.6670393598079681,57322,2,32,64.0,1,512,0.30000000000000004,0.008401272991858843,1024,4,Adam,14,
29,0.7991666666666667,1.7834131026268005,41226,2,64,32.0,1,512,0.1,0.006216284023330797,512,8,SGD,14,
48,0.7963333333333333,2.855527684688568,242186,3,128,128.0,1,256,0.2,0.0022871495637384652,512,3,SGD,14,64.0
43,0.7816666666666666,3.013462402820587,303882,2,64,32.0,2,512,0.0,0.001608067293602479,512,5,Adam,28,
58,0.78,2.029684489965439,57322,2,32,64.0,1,512,0.1,0.0020744533327664858,512,3,Adam,20,
11,0.7781666666666667,1.5526662397384643,378442,3,128,64.0,2,512,0.5,0.0024663777473099757,1024,8,SGD,14,32.0
53,0.7765,2.7103360152244567,470730,3,128,128.0,2,512,0.5,0.0020440144480877638,512,4,SGD,14,32.0
16,0.7638333333333334,1.0002367973327637,94474,2,128,64.0,1,256,0.0,0.0023228092500006277,1024,3,Adam,20,
6,0.76,2.7538067221641542,319978,2,32,64.0,2,512,0.5,0.00031883397351001905,256,3,Adam,28,
27,0.7588333333333334,1.7810726284980773,111050,3,128,32.0,1,256,0.1,0.0026711555047527883,256,3,SGD,28,128.0
38,0.7503333333333333,1.104236798286438,92490,2,64,128.0,1,128,0.0,0.0008792935556463842,1024,5,Adam,20,
59,0.7425,2.279155201911926,57322,2,32,64.0,1,512,0.2,0.0075532767431429945,512,7,SGD,28,
47,0.7276666666666667,2.302790415287018,31658,2,32,32.0,1,512,0.30000000000000004,0.0075532767431429945,512,7,SGD,28,
14,0.7218333333333333,1.0998591983318329,335242,1,128,,2,512,0.4,0.0012844230922809453,256,5,Adam,14,
40,0.7211666666666666,1.8444179272651673,84874,2,128,64.0,1,128,0.5,0.00010617049618397364,512,4,Adam,14,
24,0.7183333333333334,1.533652470111847,137450,3,32,128.0,2,128,0.0,0.003237982605211301,512,3,SGD,14,64.0
37,0.7168333333333333,1.462535045146942,121866,3,128,64.0,1,128,0.2,0.0006884159103887727,256,6,SGD,20,64.0
21,0.7146666666666667,1.96336448431015,86442,2,32,32.0,2,256,0.5,0.00012328003831367802,512,5,Adam,20,
34,0.7076666666666667,1.4867494368553162,72586,1,128,,1,512,0.2,0.0043905063473000955,512,5,Adam,20,
41,0.6981666666666667,0.9684012806415558,85706,1,64,,2,256,0.1,0.007886905077482118,1024,5,Adam,14,
4,0.6956666666666667,1.5075487995147705,72586,1,128,,1,512,0.30000000000000004,0.003482846706526885,512,3,Adam,14,
30,0.67,1.7753049433231354,335242,1,128,,2,512,0.1,0.00044397495593976656,512,3,Adam,14,
25,0.6676666666666666,3.0874252796173094,208074,3,128,128.0,1,512,0.2,0.0004544679073710522,256,3,SGD,20,32.0
39,0.662,1.5369241631031036,10314,1,64,,1,128,0.0,0.0027036125745955072,256,4,Adam,20,
57,0.6563333333333333,1.1070073604583741,72586,1,128,,1,512,0.0,0.0023228092500006277,512,3,Adam,20,
52,0.6383333333333333,2.0134937739372254,220426,3,128,64.0,1,512,0.2,0.0004544679073710522,256,3,SGD,20,128.0
19,0.6248333333333334,0.9943417632579803,26826,1,64,,2,128,0.5,0.0005604560885506443,1024,8,Adam,20,
33,0.6228333333333333,2.125009285211563,285034,1,32,,2,512,0.30000000000000004,0.00017131527250893023,256,3,Adam,20,
2,0.603,2.3013350486755373,96010,2,64,32.0,2,256,0.5,0.006161049539380964,512,4,SGD,28,
32,0.595,0.9677574408054351,19210,1,128,,1,128,0.0,0.0042574488648386855,256,8,SGD,28,
28,0.5946666666666667,0.480531200170517,19210,1,128,,1,128,0.4,0.0009928517322283855,1024,7,Adam,28,
7,0.56,1.1678649616241454,37002,1,128,,1,256,0.4,0.0005439591236568526,512,3,Adam,28,
50,0.5435,1.4856639981269837,37002,1,128,,1,256,0.0,0.0023228092500006277,256,8,SGD,20,
36,0.523,0.9549100816249847,26826,1,64,,2,128,0.0,0.009325720560052549,1024,8,SGD,14,
1,0.5141666666666667,0.7691871988773346,37002,1,128,,1,256,0.30000000000000004,0.00021930485556643703,1024,7,Adam,14,
49,0.5135,0.9919212794303894,22378,1,32,,2,128,0.1,0.00027604025386505064,512,3,Adam,20,
46,0.4435,1.4958924806118012,10314,1,64,,1,128,0.4,0.00011858104395381526,256,3,Adam,14,
55,0.43983333333333335,1.1160390377044678,31658,2,32,32.0,1,512,0.4,0.0014224367069246501,1024,7,SGD,20,
10,0.42966666666666664,1.37676415681839,74122,3,64,32.0,1,128,0.30000000000000004,0.001424976719890157,1024,4,SGD,28,128.0
5,0.41983333333333334,1.8476486349105834,249098,3,128,128.0,2,128,0.5,0.0011986281799901185,512,3,SGD,20,64.0
13,0.4055,3.4319519901275637,409290,3,128,32.0,2,512,0.30000000000000004,0.0004424996646298211,256,3,SGD,14,128.0
26,0.371,1.1154182362556457,28522,2,32,64.0,1,128,0.0,0.000834752130322248,1024,7,SGD,28,
51,0.2798333333333333,0.9744211232662201,85706,1,64,,2,256,0.0,0.001608067293602479,1024,5,SGD,14,
